ESTACION,MES,HORA,VEL
Estacion1,6,6,3.1033836543466964
Estacion1,6,7,3.3332504970178936
Estacion1,6,8,4.006676783004552
Estacion1,6,9,4.411345776031441
Estacion1,6,10,4.8696215139442165
Estacion1,6,11,5.101564027370471
Estacion1,6,12,5.298702594810376
Estacion1,6,13,5.207323232323239
Estacion1,6,14,5.0821322803553795
Estacion1,6,15,4.901712328767118
Estacion1,6,16,4.724900596421475
Estacion1,6,17,4.450073565473283
Estacion1,6,18,3.875944333996024
Estacion1,6,19,3.620632530120483
Estacion1,6,20,3.320966946225949
Estacion1,6,21,3.2103889709502664
Estacion1,6,22,3.113454011741681
Estacion1,6,23,2.978398418190804
Estacion1,7,0,2.8935669456066946
Estacion1,7,1,2.8735294117647063
Estacion1,7,2,2.8817414248021103
Estacion1,7,3,2.9571736785329055
Estacion1,7,4,3.0271038251366162
Estacion1,7,5,3.033677910772583
Estacion1,7,6,3.14109071274299
Estacion1,7,7,3.379221491228069
Estacion1,7,8,4.006552863436129
Estacion1,7,9,4.663465665236051
Estacion1,7,10,5.15583864118896
Estacion1,7,11,5.297934782608698
Estacion1,7,12,5.3318326271186525
Estacion1,7,13,5.26887486855941
Estacion1,7,14,5.2695811518324644
Estacion1,7,15,5.144955097728469
Estacion1,7,16,4.811047717842333
Estacion1,7,17,4.405319148936173
Estacion1,7,18,3.7831740976645425
Estacion1,7,19,3.394497354497359
Estacion1,7,20,3.189817232375978
Estacion1,7,21,3.0467708333333334
Estacion1,7,22,2.995937500000001
Estacion1,7,23,2.903506907545163
Estacion1,8,0,2.593868165559528
Estacion1,8,1,2.513151108818985
Estacion1,8,2,2.550461538461534
Estacion1,8,3,2.5292129162462205
Estacion1,8,4,2.548335015136226
Estacion1,8,5,2.5249621020717568
Estacion1,8,6,2.5883130081300822
Estacion1,8,7,2.9381305637982202
Estacion1,8,8,3.615757878939471
Estacion1,8,9,4.246993210475272
Estacion1,8,10,4.717675781249992
Estacion1,8,11,4.918496538081107
Estacion1,8,12,4.922676937891188
Estacion1,8,13,4.924783861671479
Estacion1,8,14,5.01119329388559
Estacion1,8,15,4.884403209628883
Estacion1,8,16,4.633036597428288
Estacion1,8,17,4.183382642998024
Estacion1,8,18,3.6772286821705467
Estacion1,8,19,3.2707341269841232
Estacion1,8,20,3.0103801169590603
Estacion1,8,21,2.9433816425120782
Estacion1,8,22,2.8000000000000016
Estacion1,8,23,2.6782980866062447
Estacion1,9,0,2.508767123287668
Estacion1,9,1,2.447688961392053
Estacion1,9,2,2.457265415549596
Estacion1,9,3,2.4353471118177006
Estacion1,9,4,2.499307036247339
Estacion1,9,5,2.5846910880262497
Estacion1,9,6,2.592783505154644
