ESTACION,ANO,MES,VEL
Estacion1,2013,6,3.940470643056851
Estacion1,2013,7,4.045444294091123
Estacion1,2013,8,3.745833333333333
Estacion1,2013,9,3.6278870398386247
Estacion1,2013,10,3.5313053613053493
Estacion1,2013,11,2.7493095238095244
Estacion1,2013,12,3.7252049180327913
Estacion1,2014,1,3.334180192895779
Estacion1,2014,2,3.426428370391221
Estacion1,2014,3,3.3707859078590827
Estacion1,2014,4,3.7495114006514725
Estacion1,2014,5,3.3644572526416843
Estacion1,2014,6,4.140740740740745
Estacion1,2014,7,4.060925039872403
Estacion1,2014,8,4.155852465186286
Estacion1,2014,9,3.6488715277777777
Estacion1,2014,10,2.9614683082535374
Estacion1,2014,11,2.992870370370363
Estacion1,2014,12,3.5269937275985566
Estacion1,2015,1,3.8365815412186284
Estacion1,2015,2,3.4774967741935354
Estacion1,2015,3,3.2485970004837887
Estacion1,2015,4,3.8815088757396397
Estacion1,2015,5,4.029041916167658
Estacion1,2015,6,4.385473785473793
Estacion1,2015,7,4.223597776654867
Estacion1,2015,8,3.7040425531914853
Estacion1,2015,9,3.4393388429752068
Estacion1,2015,10,3.5489658489658407
Estacion1,2015,11,3.2533024616134547
Estacion1,2015,12,4.229860139860139
Estacion1,2016,1,3.0573437860272064
Estacion1,2016,2,3.5500246548323338
Estacion1,2016,3,3.3137789904502
Estacion1,2016,4,3.10447619047619
Estacion1,2016,5,3.3936081519221744
Estacion1,2016,6,4.0664796633941
Estacion1,2016,7,3.855450346420324
Estacion1,2016,8,3.718735632183906
Estacion1,2016,9,3.396187532199883
Estacion1,2016,10,3.0105773781353475
Estacion1,2016,11,2.440324488761181
Estacion1,2016,12,3.3980943306336298
Estacion1,2017,1,3.2683080513418843
Estacion1,2017,2,3.1467973856209075
Estacion1,2017,3,3.0725481209899024
Estacion1,2017,4,3.3749824643441664
Estacion1,2017,5,3.142133149043997
Estacion1,2017,6,3.199710074897312
Estacion2,,,
Estacion2,2014,8,1.1234017732151211
Estacion2,2014,9,1.04590677634156
Estacion2,2014,10,1.090011350737798
Estacion2,2014,11,1.1844408427876834
Estacion2,2014,12,1.2235544598834618
Estacion2,2015,1,1.264381720430108
Estacion2,2015,2,1.2351156428749082
Estacion2,2015,3,1.2799953692984511
Estacion2,2015,4,1.0327657378740995
Estacion2,2015,5,1.097240341194183
Estacion2,2015,6,0.9696428571428577
Estacion2,2015,7,1.1745819397993302
Estacion2,2015,8,1.0697982062780258
Estacion2,2015,9,1.100185185185189
Estacion2,2015,10,1.1287474792740348
Estacion2,2015,11,1.0683341928829297
Estacion2,2016,5,0.9325096899224794
Estacion2,2016,6,1.0276760563380314
Estacion2,2016,7,1.0174831669375428
Estacion2,2016,8,1.0932915506035272
Estacion2,2016,9,1.0338580645161308
Estacion2,2016,10,1.1409101626974758
Estacion2,2016,11,1.124572004028197
Estacion2,2017,3,1.0324846356453052
Estacion2,2017,4,1.0757468830863384
Estacion2,2017,5,0.9723457922494853
Estacion2,2017,6,0.9784495021337147
Estacion3,2005,3,1.6910078455039232
Estacion3,2005,4,1.3387518872672375
Estacion3,2005,5,1.3798780487804874
Estacion3,2005,6,1.2935978112175108
Estacion3,2005,7,1.346289537712897
Estacion3,2005,8,1.2510288065843609
Estacion3,2005,9,1.312256267409473
Estacion3,2005,10,1.4239763196842592
Estacion3,2005,11,1.3828459451311441
Estacion3,2005,12,1.5139812646370052
Estacion3,2006,1,1.5497877358490573
Estacion3,2006,2,1.3226287262872625
Estacion3,2012,1,1.487978603603606
Estacion3,2012,2,1.6461988304093609
Estacion3,2012,3,1.3692877201940268
Estacion3,2012,4,1.2839583333333384
Estacion3,2012,5,1.2772625448028705
Estacion3,2012,6,1.2644675925925952
Estacion3,2012,7,1.217114695340504
Estacion3,2012,8,1.2294762484774684
Estacion3,2012,10,1.3889705882352943
Estacion3,2012,11,1.3282415630550615
Estacion3,2012,12,1.3082365364308324
Estacion3,2013,1,1.4480288097043246
Estacion3,2013,2,1.4964870575805593
Estacion3,2013,3,1.425443241998616
Estacion3,2013,4,1.4289499036608866
Estacion3,2013,5,1.2886840285780157
Estacion3,2013,6,1.280729411764705
Estacion3,2013,7,1.1951269265639124
Estacion3,2013,8,1.2504283137962195
Estacion3,2013,9,1.2715081967213115
Estacion3,2013,11,0.0
Estacion3,2014,5,1.396236559139785
Estacion3,2014,6,1.185504145493446
Estacion3,2014,7,1.2293832480474032
Estacion3,2014,8,1.182940108892925
Estacion3,2014,9,1.1916177506456949
Estacion3,2014,10,1.1568324372759864
Estacion3,2014,11,1.3739814814814812
Estacion3,2014,12,1.3022625448028702
Estacion3,2015,1,1.3474462365591433
Estacion3,2015,2,1.3431412544620163
Estacion3,2015,3,1.3854237288135625
Estacion3,2015,4,1.2172337278106564
Estacion3,2015,5,1.2370634191176448
Estacion3,2015,6,1.158200675349736
Estacion3,2015,7,1.084884259259263
Estacion3,2015,8,1.0305555555555554
Estacion3,2015,9,1.1552332195676929
Estacion3,2015,10,1.2840504451038641
Estacion3,2015,11,1.3339665653495456
Estacion3,2015,12,1.2701398601398648
Estacion3,2016,1,1.447922374429225
Estacion3,2016,2,1.450223214285716
Estacion3,2016,3,1.486461187214612
Estacion3,2016,4,1.3318634423897582
Estacion3,2016,5,1.2324115044247796
Estacion3,2016,6,1.2007958801498144
Estacion3,2016,7,1.1650482093663932
Estacion3,2016,8,1.2635683760683714
Estacion3,2016,9,1.2874034003091193
Estacion3,2016,10,1.3628295668549884
Estacion3,2016,11,1.258889430102292
Estacion3,2016,12,1.3792083929423
Estacion3,2017,1,1.3318604651162813
Estacion3,2017,2,1.4326418067226858
Estacion3,2017,3,1.3799037580201732
Estacion3,2017,4,1.3115972712303017
Estacion3,2017,5,1.3593521421107655
Estacion4,2006,12,3.2187048098082416
Estacion4,2007,1,3.007110689736899
Estacion4,2007,2,4.645735237360092
Estacion4,2007,3,2.753520734762034
Estacion4,2007,4,2.7394428152492676
Estacion4,2007,7,4.219960317460317
Estacion4,2007,8,3.776937416777627
Estacion4,2007,9,3.6361004355623723
Estacion4,2007,10,2.4589556135770287
Estacion4,2007,11,3.2822812576163707
Estacion4,2007,12,3.4505373717635566
Estacion4,2008,1,2.7171757925072106
Estacion4,2008,2,3.2685863874345427
Estacion4,2008,3,2.8958061509785624
Estacion4,2008,4,2.625421822272218
Estacion4,2008,5,2.609080902586687
Estacion4,2008,6,3.845689655172417
Estacion4,2008,7,2.9938912133891247
Estacion4,2008,8,2.135113268608415
Estacion4,2008,9,2.4878754171301454
Estacion4,2008,10,2.113829787234042
Estacion4,2008,11,2.2221998272386996
Estacion4,2008,12,3.2686000000000024
Estacion4,2009,1,3.151058201058202
Estacion4,2009,2,3.2537271448663874
Estacion4,2009,3,1.6658761528326729
Estacion4,2009,4,3.4859865470852043
Estacion4,2009,5,2.0243845252051567
Estacion4,2009,6,4.718205461638494
Estacion4,2009,7,5.913020304568521
Estacion4,2009,8,4.674479682854304
Estacion4,2009,9,5.097017892644129
Estacion4,2009,10,2.9968484242121054
Estacion4,2009,11,2.6717391304347835
Estacion4,2009,12,3.0314868804664727
Estacion4,2010,1,3.5589808558558556
Estacion4,2010,2,4.1429216867469725
Estacion4,2010,3,3.780671387359033
Estacion4,2010,4,2.8312907431551477
Estacion4,2010,5,3.1334101382488493
Estacion4,2010,6,3.667098017621143
Estacion4,2010,7,3.6082144743792814
Estacion4,2010,8,3.319655261126833
Estacion4,2010,9,2.7022351233672044
Estacion4,2010,10,2.5901356698699822
Estacion4,2010,11,2.9473773745392644
Estacion4,2010,12,3.713182957393487
Estacion4,2011,1,4.225523213856147
Estacion4,2011,2,2.614828544949027
Estacion4,2011,3,2.7993496896245884
Estacion4,2011,4,2.1695238095238087
Estacion4,2011,5,2.9977556745728138
Estacion4,2011,6,4.207648431423384
Estacion4,2011,7,4.476484498160798
Estacion4,2011,8,3.4630845771144174
Estacion4,2011,9,3.6088076229719217
Estacion4,2011,10,3.0898234428641467
Estacion4,2011,11,2.295700025595094
Estacion4,2011,12,3.829503853564544
Estacion4,2012,1,2.8862077123255303
Estacion4,2012,2,4.169236760124604
Estacion4,2012,3,2.900106382978726
Estacion4,2012,4,2.463746630727761
Estacion4,2012,8,4.303520164046476
Estacion4,2012,9,4.054847731510257
Estacion4,2012,10,2.6458067456700123
Estacion4,2012,11,3.3626648160999264
Estacion4,2012,12,4.003996834190739
Estacion4,2013,1,3.015006412997009
Estacion4,2013,2,2.807923799006074
Estacion4,2013,3,3.3666187395159315
Estacion4,2013,4,2.431986770611862
Estacion4,2013,5,3.7284281716417946
Estacion4,2013,6,5.06275878671159
Estacion4,2013,7,4.855242334322448
Estacion4,2013,8,4.196185737976781
Estacion4,2013,9,3.8136749867233166
Estacion4,2013,10,3.401834631817039
Estacion4,2013,11,2.9197068830149235
Estacion4,2013,12,3.8573303615651215
Estacion4,2014,1,2.760614184742884
Estacion4,2014,2,2.4131760644418816
Estacion4,2014,3,3.0683415777141314
Estacion4,2014,4,2.8716867469879555
Estacion4,2014,5,3.0614324390844154
Estacion4,2014,6,5.558544490276946
Estacion4,2014,7,5.440919881305637
Estacion4,2014,8,4.890794267670618
Estacion4,2014,9,4.058841896111266
Estacion4,2014,10,2.547761194029858
Estacion4,2014,11,3.357697351167059
Estacion4,2014,12,3.7533214558411805
Estacion4,2015,1,4.3206383489320945
Estacion4,2015,2,3.471394230769223
Estacion4,2015,3,2.7208992318120235
Estacion4,2015,4,2.663556505223169
Estacion4,2015,5,4.354088487375485
Estacion4,2015,6,5.458259740259729
Estacion4,2015,7,5.180568356374797
Estacion4,2015,8,4.830851334180421
Estacion4,2015,9,5.048456449834624
Estacion4,2015,10,3.3678314491264096
Estacion4,2015,11,2.7827792207792164
Estacion4,2015,12,4.3095066185318975
Estacion4,2016,1,3.2839573459715594
Estacion4,2016,2,2.8787032291132735
Estacion4,2016,3,2.6223245924875966
Estacion4,2016,4,2.5917321836165392
Estacion4,2016,5,3.9812438302073003
Estacion4,2016,6,4.8165906788247215
Estacion4,2016,7,5.155843469063964
Estacion4,2016,8,4.481516339869286
Estacion4,2016,9,4.289525586353944
Estacion4,2016,10,2.8822890348660843
Estacion4,2016,11,2.2985583224115342
Estacion4,2016,12,3.1921146953405004
Estacion4,2017,1,3.0388956163720087
Estacion4,2017,2,3.6953553441522033
Estacion4,2017,3,2.1589995095635195
Estacion4,2017,4,2.6777861069465114
Estacion4,2017,5,3.6063037249283623
